,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
251,feature_search.feature_cfg.no_confusion_type,449174,174854,171644,0,42618,42618,0
252,is_asymm.drec,479800,205311,184174,0,45770,45770,0
253,monad.unlessb,-1,-1,-1,-1,-1,-1,200
254,is_antisymm.dcases_on,456254,182922,177634,0,43123,43123,0
255,function.combine.equations._eqn_1,169033,27304,67949,0,13866,13866,0
256,neq_of_not_iff,332348,123181,137385,0,31954,31954,0
257,tactic.new_goals.non_dep_only.sizeof_spec,64484,7078,24634,0,4537,4537,0
258,string.iterator.has_next._sunfold,423439,308463,173253,2,52794,52794,0
259,io.process.spawn_args.no_confusion_type,-1,-1,-1,-1,-1,-1,200
260,int.to_nat._main.equations._eqn_2,56600,7483,22364,0,4562,4562,0
261,int.no_confusion_type,265526,69844,116019,0,24803,24803,0
262,monad_io_environment.no_confusion_type,-1,-1,-1,-1,-1,-1,200
263,is_antisymm.drec,454026,196616,178109,0,48262,48262,0
264,function.right_inverse_of_injective_of_left_inverse,153254,23521,63102,0,12700,12700,0
265,eq.substr,386308,128980,153511,0,35347,35347,0
266,failure.equations._eqn_1,305112,114875,129238,0,28348,28348,0
267,bxor.equations._eqn_3,51863,5596,20582,0,3907,3907,0
268,eq.mpr,355252,138594,142126,0,33573,33573,0
269,is_right_null.drec,548413,266429,234632,0,58457,58457,0
270,well_founded.fix_F,362871,118049,146352,0,33440,33440,0
271,io.mode.write.sizeof_spec,-1,-1,-1,-1,-1,-1,200
272,bxor.equations._eqn_4,51957,5538,20600,0,3872,3872,0
273,is_left_id.dcases_on,555451,233412,238305,0,59997,59997,0
274,and_not_self,339654,107514,139507,0,30102,30102,0
275,psigma.snd,692511,459566,282770,0,79797,79797,0
276,function.curry_uncurry,-1,-1,-1,-1,-1,-1,200
277,trans_rel_right,409320,125113,159711,0,37147,37147,0
278,int.lnot._sunfold,120298,18155,45971,0,9412,9412,0
279,is_right_null.dcases_on,549673,248135,233246,0,58293,58293,0
280,except.to_option.equations._eqn_2,101961,12644,39794,0,7399,7399,0
281,monad_reader.no_confusion_type,457211,172339,175179,0,42601,42601,0
282,iff_eq_eq,529666,232636,228389,0,54713,54713,0
283,nat.lt_of_lt_of_le,281894,94135,119696,0,27452,27452,0
284,string.iterator.extract._match_1.equations._eqn_1,250790,230300,111396,3,35575,35575,0
285,nat.lt_succ_of_le,384603,208538,178506,0,38724,38724,0
286,reader_t.pure,650245,415916,269793,0,76003,76003,0
287,list.head.equations._eqn_1,172480,35691,70385,0,15250,15250,0
288,min_default,455045,190080,175360,0,44521,44521,0
289,tt_eq_ff_eq_false,-1,-1,-1,-1,-1,-1,200
290,environment.projection_info.no_confusion_type,626415,575169,269231,3,96221,96221,0
291,monad_run.no_confusion_type,511829,229683,199365,0,51175,51175,0
292,nat.less_than_or_equal.drec,620002,342318,257499,0,69031,69031,0
293,string.iterator.extract_core._match_1.equations._eqn_1,263520,200159,120525,2,35161,35161,0
294,binder_info.aux_decl.sizeof_spec,64484,7242,24889,0,4563,4563,0
295,xor.decidable._match_1.equations._eqn_1,74284,8015,30927,0,5706,5706,0
296,binder_info.inst_implicit.sizeof_spec,64484,6918,24611,0,4494,4494,0
297,imp_congr,535694,266133,232788,0,58254,58254,0
298,string.iterator.has_next._main.equations._eqn_1,225944,199622,94809,2,30446,30446,0
299,string.iterator.has_next._main.equations._eqn_2,229708,148180,94754,2,29475,29475,0
300,iff_iff_implies_and_implies,554985,319099,238344,0,59183,59183,0
301,int.neg_of_nat.equations._eqn_1,67658,7975,29793,0,5554,5554,0
302,tactic.interactive.case_tag.match_result.combine._main.equations._eqn_6,52591,5329,20778,0,3784,3784,0
303,imp_congr_ctx,552221,264001,235284,0,60273,60273,0
304,tactic.interactive.case_tag.match_result.combine.equations._eqn_2,52685,5762,21369,0,4018,4018,0
305,except.map._main.equations._eqn_1,145211,20275,60557,0,11565,11565,0
306,string.iterator.has_prev.equations._eqn_2,229708,189104,95507,2,30201,30201,0
307,tactic.interactive.case_tag.match_result.combine.equations._eqn_1,52685,5939,20987,0,3996,3996,0
308,list.no_confusion_type,498297,243953,191374,0,50446,50446,0
309,except.map_error._main.equations._eqn_2,143760,24579,61898,0,12164,12164,0
310,state_t.put,750519,500048,298524,0,89407,89407,0
311,has_andthen.no_confusion_type,613896,310881,251681,0,67047,67047,0
312,preorder.lt._default.equations._eqn_1,148248,30717,71023,0,13090,13090,0
313,option.orelse._main.equations._eqn_1,82743,9249,33695,0,6308,6308,0
314,monad_io_is_monad_fail.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
315,tactic.transparency.no_confusion_type,276586,61064,116983,0,23949,23949,0
316,io.iterate.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
317,option.orelse.equations._eqn_3,101704,12794,39888,0,7577,7577,0
318,int.coe_nat_eq,71371,8229,30710,0,5651,5651,0
319,well_founded.induction,539997,257508,233496,0,58578,58578,0
320,state_t.modify,761601,551376,304148,0,91850,91850,0
321,punit.decidable_eq.equations._eqn_1,405902,166504,160297,0,37883,37883,0
322,and_comm,560809,272753,238559,0,59368,59368,0
323,int.neg._sunfold,233199,47527,89186,0,18045,18045,0
324,int.neg,233199,56826,92186,0,18185,18185,0
325,decidable.rec_on_false,572708,263935,243899,0,67618,-1,0
326,psum.no_confusion_type,594394,315125,251243,0,64598,64598,0
327,format.color.pink.sizeof_spec,64484,6959,24528,0,4429,4429,0
328,rec_subsingleton,584893,303324,246432,0,69690,-1,0
329,string.iterator.prev._main.equations._eqn_1,266133,293933,123116,3,40803,40803,0
330,is_right_distrib.drec_on,706162,620043,287450,0,90472,90472,0
